lat,long
47.1171,-91.8567
40.4774,-111.9725
40.6247,-74.0945
35.1151,-110.2903
41.9334,-74.0628
42.6105,-89.6294
,
40.6535,-95.8585
,
44.3788,-69.7310
30.4492,-91.1876
32.2179,-110.9686
32.2179,-110.9686
,
39.2044,-76.8814
32.7877,-96.7999
43.4695,-90.7482
34.6551,-111.4146
46.8530,-102.0252
33.8768,-117.8931
36.1418,-85.1988
38.6233,-77.2636
,
33.2268,-86.9056
40.1005,-83.0139
40.0261,-76.1687
,
42.3540,-71.7174
,
42.5645,-83.0689
33.7468,-117.8554
38.7188,-111.7637
39.9525,-75.1644
,
,
,
42.1819,-71.1967
37.3435,-121.8887
33.7197,-84.0072
35.8970,-80.5795
,
40.7390,-99.1979
28.5446,-81.3745
32.7515,-109.4466
30.0631,-82.7187
59.7434,-139.5029
37.8470,-111.2795
,
,
26.9787,-82.3664
38.3486,-122.5158
44.0672,-123.0827
29.9437,-104.3867
,
34.0929,-78.7920
,
36.6395,-88.2775
36.6395,-88.2775
,
,
36.1736,-115.1264
,
,
,
27.3364,-82.5308
47.5162,-111.2777
30.4273,-86.8854
,
,
42.6437,-122.0354
,
33.7654,-78.7957
42.2003,-122.6382
33.4486,-112.0733
35.9566,-79.9928
39.7744,-74.8376
34.9157,-92.1519
,
41.2330,-95.8774
,
48.2052,-122.3011
32.5045,-94.7145
,
35.9029,-80.2573
43.7612,-88.0007
33.8668,-116.5833
33.8668,-116.5833
41.6978,-72.6578
33.6387,-114.2736
39.6101,-97.8756
,
,
39.5700,-110.8783
,
41.6054,-87.7545
34.1040,-117.2925
43.0499,-76.1506
36.1660,-86.7732
46.6814,-100.9268
,
41.7762,-88.4629
33.5208,-86.8027
,
40.1602,-109.5478
33.9736,-118.2479
38.9964,-105.0694
36.1736,-115.1264
37.2419,-77.2673
36.8598,-75.9812
41.8279,-71.5181
35.8385,-100.8128
,
41.9065,-85.0430
,
,
36.1152,-98.5562
41.1429,-102.9776
36.8598,-75.9812
36.8598,-75.9812
,
,
33.7516,-84.7478
33.8539,-118.1333
34.7933,-84.3274
47.9908,-122.1990
40.0261,-76.1687
43.2392,-73.5966
32.6133,-99.6932
,
41.6006,-93.6087
,
34.8530,-77.2336
45.5328,-117.5453
42.0911,-77.9416
,
,
34.2322,-119.0764
,
39.5430,-119.7369
29.8325,-95.7324
,
40.0472,-76.4819
39.8952,-75.0408
39.5983,-75.7061
,
29.4083,-82.9069
,
,
41.1515,-77.9986
45.0855,-87.1413
35.5901,-82.5582
47.6355,-117.5825
26.3319,-81.7522
,
34.1124,-79.9419
34.9287,-120.2276
,
,
33.9584,-118.3613
47.6110,-122.3335
43.0386,-87.9067
,
,
,
44.0778,-123.0436
48.0871,-101.3179
34.6551,-111.4146
,
33.8880,-118.1290
33.8539,-118.1333
,
35.5105,-79.1997
43.4963,-70.6863
33.9736,-118.2479
41.4268,-71.4662
,
45.6684,-68.7695
32.2179,-110.9686
42.4990,-115.5042
,
35.0846,-106.6516
41.6568,-70.2938
43.1544,-77.6156
,
41.4500,-87.4722
42.0414,-70.6726
,
40.8619,-85.4806
40.1023,-74.3549
36.6210,-80.5045
32.2179,-110.9686
,
48.0490,-121.7491
37.4937,-83.2711
,
,
,
33.7654,-78.7957
42.3878,-84.3484
33.1508,-117.3133
40.1005,-83.0139
40.8445,-74.4904
,
,
45.6629,-110.9243
34.6193,-112.4194
30.4273,-86.8854
33.7654,-78.7957
34.1542,-118.5994
,
44.9729,-74.7317
42.9822,-95.8406
38.4328,-77.3952
29.9437,-104.3867
42.0087,-109.3871
31.1169,-97.7264
,
42.1648,-75.8786
,
33.5630,-79.0543
33.5630,-79.0543
40.6737,-73.5379
32.8497,-82.7098
40.7437,-75.2238
41.7469,-70.0695
47.0918,-123.8526
34.7658,-92.2608
35.4749,-111.7000
,
41.1988,-85.8784
39.9711,-76.5220
35.0846,-106.6516
44.6420,-123.2759
33.9563,-83.9881
,
,
42.0924,-72.9497
32.7199,-117.1805
,
31.2411,-89.2723
,
35.5435,-78.8328
42.0591,-85.1141
36.8598,-75.9812
48.0524,-113.8637
43.0675,-70.7998
,
,
39.9525,-75.1644
,
33.3594,-111.4403
40.7566,-111.9012
39.0394,-95.2031
34.9110,-89.8127
46.8578,-114.0150
41.2809,-86.6210
,
,
,
45.3261,-97.5447
35.7596,-78.7795
38.4328,-77.3952
44.9848,-93.2697
,
,
32.2889,-90.1843
,
40.7914,-74.2630
,
,
40.1689,-105.0932
40.1689,-105.0932
60.7562,-150.5203
,
34.9787,-81.6083
40.9060,-73.1251
37.3382,-89.5908
37.5191,-86.9048
,
,
,
35.9677,-95.8150
34.1040,-117.2925
37.4927,-91.9203
33.5208,-86.8027
36.1736,-115.1264
26.1418,-81.7950
,
27.4067,-82.4660
39.6031,-85.4229
,
27.0991,-82.1386
,
40.8542,-74.4045
,
44.1188,-103.1879
37.5678,-122.3694
,
41.4471,-73.9092
33.9073,-118.0758
44.0751,-92.5124
,
27.9026,-81.5846
,
45.8019,-119.2166
38.4540,-85.6025
32.2179,-110.9686
30.3383,-81.7706
,
,
33.5240,-111.9036
29.9582,-90.0767
35.9985,-114.9589
35.9029,-80.2573
39.7393,-104.9844
35.5586,-93.4357
32.6105,-93.5119
40.5688,-74.7383
37.3515,-121.9508
45.6988,-122.7198
42.1529,-71.4270
,
47.8003,-116.5842
48.5181,-122.6779
31.2533,-95.4940
40.7824,-73.4741
,
43.6139,-116.2025
33.9943,-117.3778
33.9563,-83.9881
,
38.7890,-122.5912
37.9898,-121.8073
40.9897,-84.9008
34.1435,-118.7632
30.3644,-88.5666
37.3435,-121.8887
35.4678,-97.5164
61.2225,-149.8677
,
30.5219,-90.3212
41.2596,-95.9374
42.2017,-83.6219
37.8703,-97.3355
42.9771,-77.4315
,
,
,
35.1676,-114.5723
38.7439,-121.2587
,
40.6281,-116.9413
48.0203,-117.2596
32.5995,-96.5584
34.6175,-83.7759
33.9943,-117.3778
40.9261,-80.5826
41.6710,-87.7370
32.7199,-117.1805
38.2018,-89.5640
,
,
45.8032,-122.7015
,
35.7596,-78.7795
28.1913,-82.7241
,
41.85,-87.65
39.7432,-121.8397
30.3383,-81.7706
33.7664,-116.3279
,
32.7776,-79.9419
,
,
,
,
34.0390,-117.7608
41.8550,-84.4573
30.0560,-93.8676
43.6139,-116.2025
,
40.7566,-111.9012
39.5285,-119.8043
,
35.0568,-76.6995
,
44.9639,-69.1461
41.8734,-70.6397
43.1222,-70.9225
,
39.5979,-105.0147
,
,
26.6789,-80.0392
40.7553,-73.8268
28.3824,-82.6504
40.7517,-89.0160
33.5868,-88.3193
,
33.5868,-88.3193
42.0676,-72.0440
39.7393,-104.9844
,
40.5351,-88.9345
,
,
,
48.1806,-121.9513
47.8048,-122.2862
40.3061,-75.1470
33.1915,-111.6213
47.0596,-122.3897
,
,
43.2562,-82.5378
36.1660,-86.7732
36.6179,-121.9218
,
,
,
,
,
32.9314,-112.7344
40.0472,-76.4819
37.0182,-86.4630
46.8466,-93.9027
,
,
41.5881,-71.4620
,
33.7486,-84.3884
32.9891,-79.9934
,
,
,
33.9736,-118.2479
43.3753,-112.5716
47.5943,-122.6265
39.8028,-105.0869
44.9830,-85.7330
43.2331,-77.9278
,
,
40.1196,-74.0687
,
,
,
,
34.4791,-83.7753
43.6139,-116.2025
41.5673,-87.7754
41.5673,-87.7754
41.6054,-87.7545
41.5673,-87.7754
44.6768,-124.0147
,
40.4195,-90.6239
42.0658,-72.6209
41.0327,-100.3573
30.2831,-87.7998
,
,
,
,
,
39.2323,-84.1076
38.3872,-75.1024
,
41.7761,-71.4343
,
33.4652,-104.4145
33.4316,-112.2959
35.0846,-106.6516
43.4216,-72.7984
,
,
40.3662,-105.1707
40.3662,-105.1707
30.7494,-104.5408
,
39.1616,-84.4569
,
37.77,-122.41
32.7521,-96.2928
,
,
40.4646,-88.3468
,
34.2134,-79.8206
,
47.1171,-91.8567
,
46.9066,-98.7541
33.7654,-78.7957
,
,
33.5428,-117.2690
48.0871,-101.3179
39.1233,-94.4117
,
,
,
,
,
,
42.5002,-70.8649
34.1286,-84.2949
39.2673,-76.7986
,
26.7197,-80.0695
41.6188,-87.0394
33.0463,-96.9939
33.0463,-96.9939
,
26.1211,-80.1272
,
,
44.4834,-88.0227
44.4834,-88.0227
41.5673,-87.7754
41.85,-87.65
44.4834,-88.0227
39.7679,-83.1601
,
40.4176,-86.8878
40.4176,-86.8878
,
42.7833,-77.7812
38.8710,-86.4661
41.5372,-72.7794
,
40.9157,-73.7829
,
,
44.9848,-93.2697
,
33.9116,-78.5955
40.2167,-74.7433
,
,
29.9496,-93.9200
32.6879,-115.5123
,
